Município;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
350010 ADAMANTINA;4648;4588;4527;4458;4383;4322;4270;4233;4207;4184;4173;4200;4242;4282;4302;4302;4283;4234;4191
350020 ADOLFO;522;516;516;507;500;500;501;512;521;531;544;563;580;598;612;619;618;616;615
350030 AGUAI;5667;5669;5670;5647;5605;5553;5502;5455;5417;5368;5314;5275;5222;5155;5070;4969;4863;4749;4648
350040 AGUAS DA PRATA;1071;1067;1065;1057;1041;1021;1001;987;981;971;966;962;962;959;952;930;898;867;833
350050 AGUAS DE LINDOIA;2718;2669;2628;2575;2526;2483;2448;2421;2400;2371;2345;2324;2295;2258;2212;2152;2085;2015;1944
350055 AGUAS DE SANTA BARBARA;1000;976;956;937;927;931;942;962;983;1000;1012;1023;1031;1031;1025;1015;994;982;955
350060 AGUAS DE SAO PEDRO;299;305;311;312;307;302;297;295;293;292;291;291;289;287;284;277;262;257;251
350070 AGUDOS;6258;6145;6040;5939;5873;5845;5842;5857;5888;5914;5937;5973;6002;6009;5990;5933;5839;5737;5617
350075 ALAMBARI;913;917;924;928;925;929;939;946;960;970;977;980;977;971;962;949;931;929;908
350080 ALFREDO MARCONDES;549;536;524;514;504;497;495;504;511;520;525;539;555;572;586;596;594;599;596
350090 ALTAIR;718;709;705;694;686;676;664;651;641;627;617;603;589;570;552;530;505;491;467
350100 ALTINOPOLIS;2612;2539;2467;2401;2348;2319;2310;2315;2328;2342;2361;2392;2425;2456;2471;2471;2447;2420;2378
350110 ALTO ALEGRE;559;556;552;547;537;526;516;510;505;498;490;484;478;471;461;445;424;413;402
350115 ALUMINIO;3359;3328;3293;3244;3187;3134;3085;3039;3004;2967;2931;2903;2874;2838;2791;2731;2662;2591;2521
350120 ALVARES FLORENCE;507;489;471;451;436;425;418;417;419;417;418;425;433;439;443;441;431;424;412
350130 ALVARES MACHADO;4131;4035;3943;3859;3795;3767;3764;3776;3807;3839;3889;3965;4054;4139;4201;4238;4244;4240;4199
350140 ALVARO DE CARVALHO;655;647;636;628;620;609;600;592;584;573;559;548;535;517;500;482;462;454;438
350150 ALVINLANDIA;575;562;552;544;533;526;523;514;506;499;493;485;480;467;456;440;419;407;397
350160 AMERICANA;30131;30061;30006;29932;29887;29915;29989;30120;30326;30492;30672;30952;31228;31404;31468;31378;31203;30917;30502
350170 AMERICO BRASILIENSE;6469;6442;6404;6338;6251;6158;6057;5966;5881;5793;5692;5592;5482;5351;5206;5042;4866;4684;4529
350180 AMERICO DE CAMPOS;845;833;822;805;787;776;766;756;751;744;738;736;733;729;721;709;691;682;669
350190 AMPARO;9830;9683;9542;9389;9245;9134;9059;9008;8981;8951;8942;8972;9016;9037;9009;8913;8751;8561;8342
350200 ANALANDIA;712;721;734;740;740;741;737;738;739;738;735;736;736;732;724;715;705;694;677
350210 ANDRADINA;8428;8284;8149;8014;7899;7835;7800;7800;7823;7846;7881;7959;8046;8113;8138;8103;8006;7878;7716
350220 ANGATUBA;3932;3935;3933;3918;3880;3852;3824;3811;3810;3805;3807;3821;3841;3848;3846;3817;3765;3710;3637
350230 ANHEMBI;1088;1101;1108;1106;1092;1073;1059;1043;1031;1015;998;983;970;952;931;907;885;863;847
350240 ANHUMAS;650;640;633;618;606;593;588;583;580;579;579;584;596;600;605;602;595;588;576
350250 APARECIDA;5877;5806;5730;5634;5516;5399;5282;5181;5099;5010;4939;4894;4853;4808;4737;4633;4499;4346;4210
350260 APARECIDA D'OESTE;679;652;626;598;569;544;528;514;504;492;488;491;496;499;501;493;475;463;443
350270 APIAI;5837;5558;5289;5041;4829;4666;4545;4449;4369;4292;4224;4176;4129;4070;3998;3897;3771;3632;3506
350275 ARACARIGUAMA;3311;3399;3487;3562;3627;3678;3722;3753;3795;3821;3841;3851;3848;3824;3800;3774;3768;3773;3746
350280 ARACATUBA;26838;26550;26284;26046;25910;25904;25997;26157;26386;26582;26772;27028;27253;27382;27385;27230;26949;26657;26207
350290 ARACOIABA DA SERRA;4537;4568;4588;4589;4574;4566;4561;4567;4579;4583;4575;4559;4521;4466;4392;4291;4166;4049;3896
350300 ARAMINA;783;777;767;756;750;743;740;743;754;758;763;769;771;771;766;754;730;712;688
350310 ARANDU;1152;1114;1072;1037;1012;1002;1002;1009;1017;1025;1037;1059;1082;1101;1115;1120;1114;1108;1090
350315 ARAPEI;470;460;447;433;421;408;393;382;377;367;354;345;339;331;320;311;294;285;276
350320 ARARAQUARA;29458;29458;29481;29504;29603;29829;30151;30558;31054;31496;31919;32373;32759;33017;33120;33024;32767;32472;31950
350330 ARARAS;18309;18144;18002;17865;17785;17776;17815;17889;18008;18097;18184;18311;18414;18452;18415;18279;18070;17821;17498
350335 ARCO-IRIS;289;280;275;269;265;265;264;272;278;284;288;294;306;313;323;322;313;306;301
350340 AREALVA;1203;1191;1178;1158;1133;1114;1096;1088;1081;1075;1075;1082;1091;1102;1104;1098;1078;1054;1030
350350 AREIAS;770;754;734;713;692;673;655;636;622;607;596;585;580;572;563;552;537;524;512
350360 AREIOPOLIS;2246;2186;2126;2064;2006;1953;1911;1870;1838;1807;1773;1747;1719;1690;1652;1610;1561;1518;1477
350370 ARIRANHA;1359;1371;1379;1372;1356;1328;1292;1257;1225;1191;1157;1121;1090;1051;1013;970;926;888;850
350380 ARTUR NOGUEIRA;7700;7735;7760;7759;7750;7756;7770;7799;7841;7874;7897;7932;7948;7937;7902;7838;7762;7679;7569
350390 ARUJA;14376;14292;14184;14053;13919;13836;13790;13788;13823;13839;13852;13885;13895;13854;13758;13596;13394;13184;12877
350395 ASPASIA;265;257;249;242;233;228;227;226;226;226;229;232;242;251;258;257;253;249;248
