Município;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
350010 ADAMANTINA;5580;5710;5841;5974;6105;6242;6387;6533;6679;6842;7005;7186;7367;7531;7662;7793;7962;8147;8336
350020 ADOLFO;502;522;539;558;577;602;625;656;688;710;742;776;809;845;873;905;942;971;1002
350030 AGUAI;3435;3545;3659;3781;3907;4032;4156;4286;4416;4559;4707;4858;5018;5165;5286;5414;5571;5735;5902
350040 AGUAS DA PRATA;1303;1340;1371;1407;1442;1483;1526;1577;1627;1674;1730;1785;1843;1894;1939;1978;2016;2064;2111
350050 AGUAS DE LINDOIA;2388;2456;2528;2608;2696;2787;2886;2993;3105;3222;3342;3475;3604;3733;3835;3947;4073;4202;4355
350055 AGUAS DE SANTA BARBARA;744;771;793;826;861;903;951;1001;1060;1118;1184;1249;1323;1393;1457;1521;1588;1647;1706
350060 AGUAS DE SAO PEDRO;580;613;644;675;689;696;711;731;749;766;791;817;850;876;899;915;924;940;983
350070 AGUDOS;3554;3674;3797;3937;4090;4265;4447;4632;4829;5027;5236;5443;5651;5853;6025;6195;6392;6603;6799
350075 ALAMBARI;483;506;536;559;588;615;649;685;723;763;808;863;917;968;1015;1068;1112;1154;1193
350080 ALFREDO MARCONDES;713;734;760;778;794;808;826;842;859;878;897;918;953;982;1005;1025;1046;1065;1093
350090 ALTAIR;381;393;402;412;423;441;450;462;479;491;505;522;536;556;571;584;599;623;642
350100 ALTINOPOLIS;2059;2119;2187;2261;2332;2408;2486;2568;2649;2732;2819;2894;2983;3061;3127;3184;3266;3346;3433
350110 ALTO ALEGRE;776;787;799;816;834;851;871;885;901;918;935;952;968;985;996;1009;1024;1043;1058
350115 ALUMINIO;1335;1387;1445;1507;1580;1645;1719;1795;1878;1959;2046;2130;2222;2310;2392;2473;2574;2680;2801
350120 ALVARES FLORENCE;763;774;791;817;835;852;877;897;925;955;974;1003;1034;1064;1083;1103;1124;1145;1176
350130 ALVARES MACHADO;2816;2923;3034;3151;3257;3362;3469;3585;3705;3834;3965;4111;4262;4414;4542;4679;4839;5006;5160
350140 ALVARO DE CARVALHO;419;429;444;454;461;478;492;507;524;537;555;569;585;601;611;624;634;655;671
350150 ALVINLANDIA;362;373;385;390;398;405;414;423;436;448;456;470;484;496;501;513;515;540;549
350160 AMERICANA;24109;25033;26006;27050;28156;29333;30578;31896;33261;34691;36185;37743;39342;40890;42254;43599;45127;46721;48178
350170 AMERICO BRASILIENSE;2380;2501;2631;2769;2901;3038;3173;3307;3448;3599;3745;3902;4063;4217;4357;4510;4694;4893;5125
350180 AMERICO DE CAMPOS;931;955;977;997;1025;1048;1076;1110;1136;1171;1205;1237;1276;1312;1336;1361;1397;1430;1473
350190 AMPARO;8678;8930;9199;9476;9756;10057;10377;10705;11048;11405;11768;12133;12504;12843;13125;13385;13700;14053;14412
350200 ANALANDIA;526;548;576;604;616;635;649;663;678;697;715;738;771;796;817;841;859;883;902
350210 ANDRADINA;7815;8009;8204;8412;8633;8866;9119;9368;9629;9905;10197;10498;10815;11121;11376;11620;11921;12243;12557
350220 ANGATUBA;2347;2436;2519;2612;2711;2811;2918;3025;3139;3253;3379;3509;3646;3778;3894;4011;4151;4295;4436
350230 ANHEMBI;607;627;647;670;690;711;736;754;782;809;840;870;906;938;967;994;1025;1054;1080
350240 ANHUMAS;468;480;492;512;527;541;554;580;599;617;643;669;698;725;742;768;790;821;855
