;Unnamed: 0;ACESSO_LOCAL;MULTIPLO_PESA;REGIAO;PESA;MUNI_REFERENCIADO;OBSERVACOES;LAT_MUNI;LON_MUNI;LAT_PESA;LON_PESA;DISTANCIA;TEMPO;IBGE;MUNI_NOME_x;POP10;POP12;POP11A59;POP60;POP_GERAL;MACRO_CODIGO;MACRO_NOME;DRS_CODIGO;DRS_NOME;CIR_CODIGO;CIR_NOME;TOTAL_CASOS;TOTAL_10A;TOTAL_12A;TOTAL_11A59;TOTAL_60;LEVE;MG;LEVE_10;MG_10;LEVE_12;MG_12;LEVE_11A59;MG_11A59;LEVE_60;MG_60;TOTAL_AMPOLAS;CAT_TEMPO;PROP_POP_0A10;PROP_POP_60MAIS;LOG_POP;PROP_MG;INCID_MEDIA_GERAL;INCID_0A10;INCID_60MAIS;PROP_CASOS_0A10;PROP_CASOS_60MAIS;TAXA_MG_100MIL;CLASS_IG;SORO_IG;EVOL_IG;PROP_CLASS_IGN;PROP_SORO_IGN;PROP_EVOL_IGN;BAIXO_N
0;0;0;0;ARACATUBA;PENAPOLIS;ALTO ALEGRE;TODOS;-21.5820592;-50.1661976;-21.4164035;-50.0649111;23.5;25.7;350110;ALTO ALEGRE;491.0;591.0;2654.0;934.8;4079.8;3536;RRAS19;3502;DRS-02 Aracatuba;35023;Consorcios do DRS II;89;3;3;55;28;88;1;3;0;3;0;55;0;27;1;2;< 30;0.12;0.23;3.6106388736228836;0.01;436.3;122.2;599.06;0.0337;0.3146;4.9;0.0;0.0;0.0;0.0;0.0;0.0;0
1;1;0;0;ARACATUBA;PENAPOLIS;AVANHANDAVA;TODOS;-21.4603331;-49.9465156;-21.4164035;-50.0649111;14.1;15.9;350440;AVANHANDAVA;1761.2;2090.5;8523.0;1383.0;11667.2;3536;RRAS19;3502;DRS-02 Aracatuba;35023;Consorcios do DRS II;63;8;10;48;7;57;6;5;3;6;4;45;3;7;0;9;< 30;0.15;0.12;4.066966642638864;0.1;108.0;90.85;101.23;0.127;0.1111;10.29;15.0;13.0;27.0;0.2381;0.2063;0.4286;0
2;2;0;0;ARACATUBA;PENAPOLIS;BARBOSA;TODOS;-21.265661;-49.951816;-21.4164035;-50.0649111;26.7;22.8;350510;BARBOSA;975.4;1175.75;4279.6;984.0;6239.0;3536;RRAS19;3502;DRS-02 Aracatuba;35023;Consorcios do DRS II;251;29;35;179;43;246;5;26;3;31;4;177;2;43;0;4;< 30;0.16;0.16;3.7951149856303634;0.02;804.62;594.63;873.98;0.1155;0.1713;16.03;55.0;89.0;56.0;0.2191;0.3546;0.2231;0
3;3;0;0;ARACATUBA;VALPARAISO;BENTO DE ABREU;TODOS;-21.2715723;-50.8117225;-21.2306549;-50.8611954;9.5;12.8;350620;BENTO DE ABREU;426.4;500.25;1872.6;392.6;2691.6;3536;RRAS19;3502;DRS-02 Aracatuba;35021;Central do DRS II;60;4;4;42;14;59;1;3;1;3;1;42;0;14;0;4;< 30;0.16;0.15;3.4300105196305926;0.02;445.83;187.62;713.19;0.0667;0.2333;7.43;2.0;1.0;1.0;0.0333;0.0167;0.0167;0
4;4;0;0;ARACATUBA;CLEMENTINA;BILAC;TODOS;-21.403962;-50.47464;-21.5566976258936;-50.4465331675452;21.6;19.8;350640;BILAC;895.2;1061.0;5043.4;1411.2;7349.8;3536;RRAS19;3502;DRS-02 Aracatuba;35021;Central do DRS II;39;2;2;23;13;36;3;1;1;1;1;23;0;11;2;5;< 30;0.12;0.19;3.866275521386487;0.08;106.13;44.68;184.24;0.0513;0.3333;8.16;5.0;0.0;6.0;0.1282;0.0;0.1538;0
5;5;0;0;ARACATUBA;PENAPOLIS;BRAUNA;TODOS;-21.5015319;-50.3175246;-21.4164035;-50.0649111;34.2;30.1;350770;BRAUNA;796.6;933.5;3557.2;963.0;5316.8;3536;RRAS19;3502;DRS-02 Aracatuba;35023;Consorcios do DRS II;81;11;12;55;14;79;2;10;1;11;1;54;1;14;0;5;30 a 59;0.15;0.18;3.725650323934636;0.02;304.69;276.17;290.76;0.1358;0.1728;7.52;28.0;21.0;33.0;0.3457;0.2593;0.4074;0
6;6;0;0;ARACATUBA;BURITAMA;BREJO ALEGRE;TODOS;-21.1671191;-50.1850393;-21.0613906;-50.1468206;18.1;22.3;350775;BREJO ALEGRE;373.4;451.5;1840.4;422.4;2636.2;3536;RRAS19;3502;DRS-02 Aracatuba;35023;Consorcios do DRS II;51;5;5;33;13;48;3;2;3;2;3;33;0;13;0;11;< 30;0.14;0.16;3.4209783556949027;0.06;386.92;267.81;615.53;0.098;0.2549;22.76;1.0;1.0;0.0;0.0196;0.0196;0.0;0
7;7;0;0;ARACATUBA;BIRIGUI;COROADOS;TODOS;-21.3554634;-50.2853589;-21.2811966803355;-50.3352021152299;11.3;14.6;351250;COROADOS;840.8;990.25;3797.2;868.0;5506.0;3536;RRAS19;3502;DRS-02 Aracatuba;35023;Consorcios do DRS II;81;4;5;58;17;77;4;3;1;4;1;55;3;17;0;3;< 30;0.15;0.16;3.7408362070573116;0.05;294.22;95.15;391.71;0.0494;0.2099;14.53;2.0;18.0;6.0;0.0247;0.2222;0.0741;0
8;8;0;0;ARACATUBA;CLEMENTINA;GABRIEL MONTEIRO;TODOS;-21.5299436;-50.5533059;-21.5566976258936;-50.4465331675452;13.2;19.6;351650;GABRIEL MONTEIRO;354.4;420.25;1884.2;571.2;2809.8;3536;RRAS19;3502;DRS-02 Aracatuba;35023;Consorcios do DRS II;10;0;0;7;3;10;0;0;0;0;0;7;0;3;0;0;< 30;0.13;0.2;3.4486754081657236;0.0;71.18;0.0;105.04;0.0;0.3;0.0;1.0;0.0;0.0;0.1;0.0;0.0;0
9;9;0;0;ARACATUBA;PENAPOLIS;GLICERIO;TODOS;-21.3814805;-50.2100452;-21.4164035;-50.0649111;25.6;22.2;351710;GLICERIO;660.0;789.5;3003.2;794.4;4457.6;3536;RRAS19;3502;DRS-02 Aracatuba;35023;Consorcios do DRS II;88;9;10;54;25;84;4;9;0;10;0;52;2;23;2;9;< 30;0.15;0.18;3.6491010947438696;0.05;394.83;272.73;629.41;0.1023;0.2841;17.95;2.0;3.0;9.0;0.0227;0.0341;0.1023;0
10;10;0;0;ARACATUBA;AURIFLAMA;GUZOLANDIA;TODOS;-20.6491637;-50.6622974;-20.685037022635;-50.554985601498;14.2;14.9;351890;GUZOLANDIA;696.8;845.75;3185.6;744.6;4627.0;3536;RRAS19;3502;DRS-02 Aracatuba;35021;Central do DRS II;55;2;3;44;8;54;1;2;0;3;0;44;0;7;1;4;< 30;0.15;0.16;3.665299499499897;0.02;237.74;57.41;214.88;0.0364;0.1455;4.32;0.0;0.0;1.0;0.0;0.0;0.0182;0
11;11;0;0;ARACATUBA;ILHA SOLTEIRA;ITAPURA;TODOS;-20.6435211;-51.5084479;-20.4319045;-51.3392496;33.9;29.9;352300;ITAPURA;640.0;771.25;2940.8;692.6;4273.4;3536;RRAS19;3502;DRS-02 Aracatuba;35022;Lagos do DRS II;39;4;5;27;7;36;3;3;1;4;1;25;2;7;0;13;< 30;0.15;0.16;3.6307735456752157;0.08;182.52;125.0;202.14;0.1026;0.1795;14.04;0.0;0.0;0.0;0.0;0.0;0.0;0
12;12;0;0;ARACATUBA;MIRANDOPOLIS;LAVINIA;TODOS;-21.1665477;-51.0410539;-21.124914;-51.1033197;9.1;10.6;352650;LAVINIA;645.4;766.25;7894.2;997.2;9536.8;3536;RRAS19;3502;DRS-02 Aracatuba;35022;Lagos do DRS II;185;11;13;113;59;180;5;9;2;11;2;111;2;58;1;12;< 30;0.07;0.1;3.979402674968801;0.03;387.97;340.87;1183.31;0.0595;0.3189;10.49;7.0;4.0;107.0;0.0378;0.0216;0.5784;0
