 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2025 - Brasil
População residente por Município e Ano
Unidade da Federação: São Paulo
Idade simples: Menos que 1 ano de idade, 1  ano, 2  anos, 3  anos, 4  anos, 5  anos, 6  anos, 7  anos, 8  anos, 9  anos, 10 anos, 11 anos, 12 anos
Período:2015-2019
"Município";"2015";"2016";"2017";"2018";"2019"
"350010 ADAMANTINA";5045;5013;4991;5000;5028
"350020 ADOLFO";629;637;651;670;685
"350030 AGUAI";6414;6354;6289;6230;6163
"350040 AGUAS DA PRATA";1169;1156;1146;1138;1132
"350050 AGUAS DE LINDOIA";2883;2846;2811;2780;2745
"350055 AGUAS DE SANTA BARBARA";1179;1197;1209;1220;1232
"350060 AGUAS DE SAO PEDRO";355;351;349;350;348
"350070 AGUDOS";6979;6993;7010;7040;7072
"350075 ALAMBARI";1137;1144;1151;1155;1154
"350080 ALFREDO MARCONDES";614;622;626;642;659
"350090 ALTAIR";756;739;727;709;692
"350100 ALTINOPOLIS";2790;2795;2806;2832;2861
"350110 ALTO ALEGRE";604;595;586;579;574
"350115 ALUMINIO";3594;3549;3499;3452;3404
"350120 ALVARES FLORENCE";513;509;510;515;523
"350130 ALVARES MACHADO";4557;4583;4623;4683;4761
"350140 ALVARO DE CARVALHO";688;676;660;647;633
"350150 ALVINLANDIA";602;591;583;573;568
"350160 AMERICANA";36066;36230;36395;36616;36859
"350170 AMERICO BRASILIENSE";6976;6867;6741;6613;6478
"350180 AMERICO DE CAMPOS";905;892;884;880;880
"350190 AMPARO";10712;10652;10611;10595;10603
"350200 ANALANDIA";871;870;867;865;864
"350210 ANDRADINA";9343;9352;9373;9432;9510
"350220 ANGATUBA";4530;4517;4512;4514;4526
"350230 ANHEMBI";1238;1220;1198;1178;1162
"350240 ANHUMAS";701;698;695;696;704
"350250 APARECIDA";6082;5973;5876;5798;5725
"350260 APARECIDA D'OESTE";618;601;591;589;591
"350270 APIAI";5296;5184;5080;4994;4918
"350275 ARACARIGUAMA";4453;4482;4502;4505;4496
"350280 ARACATUBA";31230;31400;31584;31830;32084
"350290 ARACOIABA DA SERRA";5468;5462;5443;5412;5365
"350300 ARAMINA";900;903;909;913;914
"350310 ARANDU";1216;1219;1227;1247;1272
"350315 ARAPEI";458;445;431;419;411
"350320 ARARAQUARA";36741;37202;37646;38100;38526
"350330 ARARAS";21364;21432;21496;21584;21670
"350335 ARCO-IRIS";326;334;338;343;354
"350340 AREALVA";1302;1293;1289;1289;1294
"350350 AREIAS";752;731;716;700;689
"350360 AREIOPOLIS";2196;2157;2114;2079;2043
"350370 ARIRANHA";1466;1427;1386;1339;1298
"350380 ARTUR NOGUEIRA";9320;9349;9365;9380;9383
"350390 ARUJA";16529;16515;16493;16476;16451
"350395 ASPASIA";274;272;274;277;285
"350400 ASSIS";16811;16874;16911;16946;16962
"350410 ATIBAIA";25663;25962;26261;26606;26950
"350420 AURIFLAMA";2187;2167;2154;2145;2150
"350430 AVAI";908;888;868;858;856
"350440 AVANHANDAVA";2124;2104;2078;2056;2030
"350450 AVARE";16314;16383;16446;16533;16623
"350460 BADY BASSITT";3318;3517;3736;3986;4263
"350470 BALBINOS";246;244;241;236;234
"350480 BALSAMO";1363;1381;1398;1417;1433
"350490 BANANAL";1924;1879;1837;1801;1769
"350500 BARAO DE ANTONINA";681;681;683;683;685
"350510 BARBOSA";1227;1187;1159;1130;1114
"350520 BARIRI";5672;5605;5548;5515;5500
"350530 BARRA BONITA";5311;5231;5164;5112;5068
"350535 BARRA DO CHAPEU";1166;1139;1111;1094;1078
"350540 BARRA DO TURVO";1738;1682;1624;1574;1527
"350550 BARRETOS";20467;20549;20618;20698;20767
"350560 BARRINHA";6782;6788;6774;6741;6689
"350570 BARUERI";57556;58571;59358;59896;60196
"350580 BASTOS";3848;3818;3793;3771;3754
"350590 BATATAIS";9965;9910;9856;9828;9808
"350600 BAURU";62559;62594;62641;62827;63051
"350610 BEBEDOURO";13006;12908;12837;12818;12829
"350620 BENTO DE ABREU";506;499;498;498;502
"350630 BERNARDINO DE CAMPOS";1847;1830;1816;1815;1820
"350635 BERTIOGA";12496;12643;12748;12809;12827
"350640 BILAC";1048;1051;1064;1081;1105
