Município;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
350010 ADAMANTINA;24409;24386;24362;24329;24315;24342;24374;24384;24363;24312;24237;24121;24002;23879;23726;23557;23399;23261;23146
350020 ADOLFO;2600;2571;2552;2547;2556;2590;2628;2662;2692;2720;2742;2772;2796;2820;2843;2857;2858;2891;2888
350030 AGUAI;22759;23075;23354;23550;23642;23686;23686;23659;23615;23533;23419;23276;23142;23012;22859;22698;22541;22404;22336
350040 AGUAS DA PRATA;5247;5269;5290;5287;5275;5250;5215;5175;5123;5069;5003;4930;4854;4784;4706;4636;4573;4539;4519
350050 AGUAS DE LINDOIA;12198;12280;12357;12413;12449;12487;12523;12531;12524;12511;12478;12429;12373;12319;12261;12175;12092;12028;11958
350055 AGUAS DE SANTA BARBARA;3816;3850;3886;3919;3963;4026;4097;4173;4248;4322;4393;4452;4516;4586;4649;4695;4727;4778;4799
350060 AGUAS DE SAO PEDRO;1618;1673;1718;1752;1770;1779;1775;1776;1774;1758;1749;1734;1717;1697;1674;1660;1627;1632;1694
350070 AGUDOS;25031;25220;25405;25563;25701;25859;26010;26134;26230;26306;26347;26373;26411;26461;26481;26489;26503;26539;26572
350075 ALAMBARI;3146;3237;3327;3414;3491;3558;3635;3710;3777;3838;3900;3950;4014;4064;4117;4157;4191;4247;4272
350080 ALFREDO MARCONDES;2643;2647;2659;2663;2671;2692;2716;2749;2778;2796;2812;2830;2850;2864;2873;2886;2876;2892;2885
350090 ALTAIR;2712;2738;2759;2772;2776;2768;2751;2718;2686;2657;2623;2579;2540;2507;2454;2416;2365;2365;2358
350100 ALTINOPOLIS;11182;11195;11200;11214;11244;11294;11341;11387;11409;11433;11438;11432;11425;11424;11420;11405;11382;11390;11386
350110 ALTO ALEGRE;2924;2902;2870;2849;2825;2805;2770;2741;2723;2687;2654;2617;2589;2559;2520;2487;2438;2427;2414
350115 ALUMINIO;12042;12174;12279;12380;12467;12545;12609;12654;12676;12680;12675;12634;12601;12558;12496;12436;12367;12320;12285
350120 ALVARES FLORENCE;2842;2801;2760;2730;2717;2698;2682;2663;2649;2628;2597;2567;2542;2511;2477;2450;2417;2409;2391
350130 ALVARES MACHADO;16556;16604;16670;16760;16924;17138;17385;17611;17830;18039;18207;18340;18467;18598;18703;18789;18892;19004;19027
350140 ALVARO DE CARVALHO;3488;3548;3604;3652;3678;3706;3727;3745;3759;3769;3781;3779;3783;3794;3782;3789;3769;3787;3792
350150 ALVINLANDIA;2068;2087;2109;2123;2132;2131;2126;2123;2111;2104;2086;2073;2063;2037;2016;2000;1967;1976;1973
350160 AMERICANA;153041;155160;157174;158882;160327;161731;163063;164242;165250;166089;166734;167163;167574;168002;168246;168424;168689;169017;168891
350170 AMERICO BRASILIENSE;24949;25502;25990;26336;26472;26479;26411;26308;26179;26038;25841;25625;25400;25184;24938;24680;24425;24180;24054
350180 AMERICO DE CAMPOS;3996;3996;4001;4011;4021;4034;4038;4041;4037;4034;4018;3993;3975;3960;3942;3911;3874;3863;3839
350190 AMPARO;47509;47939;48329;48595;48759;48880;48954;48973;48951;48862;48706;48485;48254;48029;47765;47500;47282;47103;47038
350200 ANALANDIA;2862;2911;2955;2994;3018;3046;3065;3082;3097;3111;3121;3111;3114;3111;3099;3092;3082;3107;3115
350210 ANDRADINA;40303;40294;40290;40319;40441;40647;40899;41103;41261;41375;41436;41449;41459;41468;41428;41378;41351;41352;41352
350220 ANGATUBA;15356;15569;15776;15939;16078;16205;16324;16418;16487;16544;16579;16584;16583;16577;16562;16538;16518;16507;16500
350230 ANHEMBI;3714;3808;3884;3950;3992;4016;4028;4029;4023;4018;4005;3979;3962;3939;3922;3894;3863;3849;3839
350240 ANHUMAS;2595;2622;2639;2658;2678;2705;2716;2731;2743;2750;2752;2751;2743;2734;2728;2714;2693;2699;2687
350250 APARECIDA;26403;26398;26362;26270;26136;25985;25798;25577;25331;25058;24749;24391;24045;23697;23341;22978;22642;22342;22174
350260 APARECIDA D'OESTE;3222;3182;3151;3121;3101;3071;3046;3009;2975;2942;2894;2843;2793;2747;2700;2655;2601;2580;2556
350270 APIAI;18440;18377;18340;18322;18321;18343;18357;18333;18291;18223;18125;17991;17845;17709;17551;17392;17251;17118;17072
350275 ARACARIGUAMA;10720;11191;11655;12073;12413;12725;13009;13302;13576;13846;14095;14305;14523;14735;14941;15127;15292;15476;15523
350280 ARACATUBA;132646;133539;134383;135090;135806;136625;137478;138230;138834;139303;139648;139864;140097;140345;140427;140441;140527;140664;140576
350290 ARACOIABA DA SERRA;17874;18501;19091;19599;19972;20269;20537;20786;21034;21249;21428;21569;21696;21826;21934;22016;22084;22168;22172
350300 ARAMINA;3660;3687;3719;3739;3754;3755;3771;3767;3775;3760;3758;3735;3723;3719;3701;3680;3649;3649;3641
350310 ARANDU;4375;4393;4414;4432;4455;4490;4527;4552;4580;4600;4613;4618;4627;4645;4649;4653;4655;4689;4706
350315 ARAPEI;1755;1753;1755;1754;1760;1761;1758;1748;1737;1717;1697;1678;1651;1627;1600;1580;1539;1536;1526
350320 ARARAQUARA;149833;151758;153607;155245;156784;158443;160182;161866;163420;164828;166086;167178;168289;169438;170412;171285;172199;173172;173607
350330 ARARAS;85750;86916;88010;88909;89615;90251;90833;91337;91735;92042;92249;92337;92419;92505;92500;92464;92464;92494;92418
350335 ARCO-IRIS;1409;1395;1377;1371;1363;1356;1365;1363;1364;1360;1364;1355;1353;1349;1341;1332;1313;1328;1326
350340 AREALVA;5318;5350;5370;5392;5398;5404;5417;5412;5416;5410;5391;5355;5320;5288;5245;5198;5137;5109;5091
350350 AREIAS;2541;2564;2581;2599;2617;2629;2635;2630;2621;2604;2584;2555;2528;2503;2468;2445;2411;2414;2394
350360 AREIOPOLIS;7690;7745;7789;7834;7857;7872;7864;7853;7830;7792;7748;7682;7628;7569;7507;7436;7362;7306;7257
350370 ARIRANHA;6018;6103;6175;6211;6204;6159;6103;6034;5951;5871;5788;5695;5606;5515;5411;5323;5223;5152;5099
350380 ARTUR NOGUEIRA;30127;31026;31895;32639;33246;33764;34235;34674;35081;35452;35784;36048;36318;36582;36815;37021;37209;37413;37530
350390 ARUJA;51988;53302;54588;55727;56680;57538;58318;59037;59708;60315;60836;61262;61677;62096;62461;62787;63114;63446;63527
350395 ASPASIA;1285;1285;1283;1277;1281;1275;1270;1268;1263;1260;1245;1228;1221;1208;1194;1180;1162;1177;1170
350400 ASSIS;68550;69146;69691;70112;70438;70756;71060;71307;71476;71581;71614;71583;71552;71543;71446;71332;71271;71241;71247
350410 ATIBAIA;88061;89211;90427;91727;93254;95013;96853;98629;100328;101948;103468;104857;106254;107671;109003;110305;111655;113037;113517
350420 AURIFLAMA;10303;10327;10344;10341;10305;10267;10214;10159;10086;10005;9913;9799;9694;9589;9471;9339;9210;9108;9045
350430 AVAI;3481;3517;3551;3567;3572;3549;3525;3490;3443;3399;3345;3283;3220;3165;3106;3054;3001;2987;2959
350440 AVANHANDAVA;7774;8024;8267;8443;8550;8595;8607;8607;8587;8562;8536;8486;8444;8404;8353;8294;8248;8219;8205
350450 AVARE;59071;59519;59972;60406;60900;61476;62082;62636;63113;63533;63875;64151;64414;64688;64894;65090;65316;65583;65712
350460 BADY BASSITT;9788;10045;10300;10562;10902;11344;11928;12612;13368;14147;14949;15766;16611;17506;18375;19171;19810;20406;20644
350470 BALBINOS;2460;2770;3089;3345;3451;3469;3440;3441;3452;3470;3491;3505;3523;3548;3574;3556;3494;3439;3436
350480 BALSAMO;5650;5705;5762;5823;5875;5943;6017;6097;6172;6234;6293;6352;6410;6482;6539;6575;6604;6655;6663
350490 BANANAL;7073;7113;7155;7183;7194;7208;7213;7204;7191;7162;7131;7072;7025;6966;6913;6838;6761;6706;6657
350500 BARAO DE ANTONINA;2041;2065;2086;2111;2137;2155;2178;2197;2214;2231;2245;2253;2271;2284;2298;2304;2299;2328;2333
350510 BARBOSA;4498;4568;4630;4669;4669;4639;4585;4518;4448;4368;4280;4196;4106;4013;3923;3840;3761;3718;3688
350520 BARIRI;21697;22012;22291;22492;22600;22658;22679;22660;22625;22551;22454;22316;22171;22028;21861;21688;21509;21373;21265
350530 BARRA BONITA;26818;26781;26733;26646;26554;26457;26357;26213;26051;25853;25631;25371;25106;24829;24541;24230;23907;23616;23410
350535 BARRA DO CHAPEU;3518;3558;3610;3647;3682;3700;3724;3734;3732;3735;3721;3708;3698;3683;3661;3645;3611;3605;3587
350540 BARRA DO TURVO;5200;5195;5190;5181;5168;5151;5128;5087;5040;4977;4917;4855;4796;4739;4671;4606;4533;4476;4449
350550 BARRETOS;80579;81197;81805;82345;82891;83513;84146;84715;85203;85593;85891;86070;86244;86434;86540;86606;86723;86886;86918
350560 BARRINHA;20086;20496;20903;21249;21546;21836;22097;22350;22587;22797;22989;23116;23262;23413;23529;23621;23688;23768;23784
350570 BARUERI;174100;177013;180088;183347;187084;191323;195800;200218;204529;208740;212785;216594;220468;224469;228374;232301;236429;240687;243435
350580 BASTOS;14870;14855;14855;14850;14886;14942;15004;15053;15083;15100;15090;15045;15011;14970;14911;14836;14754;14686;14641
350590 BATATAIS;40195;40617;40989;41244;41396;41512;41571;41586;41551;41478;41352;41178;41001;40821;40615;40391;40178;39999;39883
350600 BAURU;247919;250019;252067;253929;255828;257967;260119;262038;263665;265012;266061;266763;267432;268132;268563;268883;269367;269954;270113
350610 BEBEDOURO;55035;55066;55088;55063;55060;55104;55125;55083;54983;54818;54600;54314;54032;53758;53432;53083;52758;52465;52285
350620 BENTO DE ABREU;1843;1875;1899;1920;1928;1929;1919;1914;1903;1886;1875;1858;1841;1824;1807;1790;1759;1769;1769
350630 BERNARDINO DE CAMPOS;7402;7418;7437;7454;7488;7551;7616;7678;7736;7792;7834;7864;7904;7951;7987;8007;8021;8047;8056
350635 BERTIOGA;29799;31245;32688;34007;35159;36204;37215;38224;39228;40219;41175;42061;42958;43874;44757;45595;46400;47197;47463
350640 BILAC;4927;5006;5067;5120;5136;5142;5136;5124;5102;5079;5042;5010;4984;4958;4924;4895;4862;4861;4854
350650 BIRIGUI;78627;79687;80665;81430;82013;82539;83024;83435;83762;84010;84180;84263;84355;84454;84448;84404;84383;84370;84299
350660 BIRITIBA MIRIM;19571;19908;20232;20489;20689;20853;20980;21077;21158;21212;21242;21220;21184;21157;21110;21046;20964;20894;20860
350670 BOA ESPERANCA DO SUL;9684;9800;9903;9966;9981;9963;9927;9860;9783;9698;9607;9498;9388;9292;9179;9074;8984;8908;8870
350680 BOCAINA;7561;7688;7808;7899;7956;7987;8012;8030;8040;8037;8025;8003;7978;7959;7924;7898;7871;7859;7849
350690 BOFETE;6180;6336;6493;6604;6675;6737;6783;6836;6887;6921;6942;6950;6950;6950;6943;6926;6891;6876;6871
