MUNICIPIO;UNIDADE ;ENDERECO;TELEFONES;CNES;ATENDIMENTOS
ADAMANTINA;"Santa Casa de
Misericórdia";"Rua Joaquim Luiz Viana,
209 - Vila Cicma";(18) 3502-2200;2077647.0;"Botrópico, Crotálico, Loxoscélico,
Fonêutrico e Escorpiônico."
AGUAS DE LINDOIA;"Hospital São Camilo
Águas de Lindóia";"Rua Santa Catarina, 158 -
Centro";(19) 3824-1122;2077558.0;Escorpiônico
ALTINOPOLIS;"Hospital de Misericódia
Altinópolis";Rua Coronel Joaquim Alberto, 421 - Centro;(16) 3665-7200/9624;2716593.0;Botrópico, Crotálico e Escorpiônico.
AMERICANA;Hospital Municipal;"Avenida da Saúde, 415 -
Jd. N. Sra. Fátima";(19) 3471-6750;2058790.0;Escorpiônico e Loxoscélico, Fonêutrico.
AMPARO;"Santa Casa Anna
Cintra";"Rua Ana Cintra, 332 -
Centro";(19) 3807-4477;2078848.0;"Botrópico, Crotálico, Escorpiônico e
Loxoscélico, Fonêutrico."
ANDRADINA;"Santa Casa de
Andradina";"Avenida Guanabara, 730 -
Centro";(18) 3702-1100;2082691.0;"Botrópico, Crotálico, Loxoscélico,
Fonêutrico e Escorpiônico"
ANGATUBA;Hospital Angatuba;"Praça Levi Lisboa, 1202 -
Centro";(15)3255-1055/1122;2082748.0;"Botrópico, Crotálico, Escorpiônico e
Loxoscélico, Fonêutrico."
APIAI;"Hospital Doutor
Ademar de Barros";"Rua Primeiro de Maio, 336
- Centro";(15) 3552-1266;2082098.0;"Botrópico, Crotálico, Escorpiônico,
Loxoscélico, Fonêutrico e Lonômico."
ARACATUBA;Santa Casa de Araçatuba;"Rua Floriano Peixoto, 896
- Vila Mendonça";(18) 3607-3000;2078775.0;"Botrópico, Crotálico, Elapídico, Loxoscélico, Fonêutrico, Escorpiônico e
Lonômico."
ARARAQUARA;"Unidade de Retaguarda do
Melhado";Rua Eitor Bim, nº 91, Vila Suconaza, Araraquara;(16) 3305-1500;4047184.0;"Botrópico, Crotálico, Elapídico, Loxoscélico, Fonêutrico, Escorpiônico e
Lonômico."
ARARAS;"Hospital São Luiz de
Araras";"Praça Dr. Narciso Gomes,
49 - Centro";(19) 3543-5400;2081253.0;"Botrópico, Crotálico, Loxoscélico,
Fonêutrico e Escorpiônico."
ASSIS;UPA Ruy Silva;Rua Osmar Luchini, 670 - Jardim Aeroporto;"(18) 3322-3553/3302-
6069";7640307.0;"Botrópico, Crotálico, Elapídico, Escorpiônico, Loxoscélico, Fonêutrico e
Lonômico."
ATIBAIA;Santa Casa de Atibaia;"Praça Dr. Miguel Vairo,
104 - Centro";(11) 4411-0062;5366828.0;"Botrópico, Crotálico, Loxoscélico,
Fonêutrico e Escorpiônico."
AURIFLAMA;"Santa Casa de
Auriflama";"Rua Alfredo Dainesi, 59-52
- Centro";(17) 3482-1282;2081768.0;"Botrópico, Crotálico, Loxoscélico,
Fonêutrico e Escorpiônico."
AVARE;"Santa Casa de
Misericórdia";Rua Paraíba, 1003 - Centro;(14) 3711-9100;2083604.0;"Botrópico, Crotálico, Loxoscélico,
Fonêutrico e Escorpiônico."
BANANAL;"Unidade Mista de Saúde Mons. Cid
França Santos";Avenida Bom Jesus 134 - Centro;(12) 3116-1288/1957;2087642.0;Botrópico, Crotálico, Escorpiônico e Loxoscélico, Fonêutrico.
BARIRI;Santa Casa de Misericórdia de Bariri;"Avenida Coronel Antônio José de
Carvalho,409,  Vila Santa Terezinha";(14) 36626522;2791676.0;Escorpiônico
BARRA BONITA;HOSPITAL E MATERNIDADE SÃO  JOSÉ;RUA 14 DE DEZEMBRO,490-CENTRO;(14) 36417114;2082632.0;Escorpiônico
BARRA DO TURVO;Pronto Socorro de Barra do Turvo;"Rua Vereador Firmino Pedroso dos Santos, 375 -
Boa Esperança";(15) 3578-9420;7631103.0;Botrópico, Crotálico, Escorpiônico e Loxoscélico, Fonêutrico.
BARRETOS;Santa Casa de Barretos;Avenida 23, 1208 - Centro;(17) 3321-2500;2092611.0;"Botrópico, Crotálico, Elapídico, Escorpiônico, Loxoscélico, Fonêutrico e
Lonômico."
BATATAIS;UPA Batatais José Antônio da Silva Neto;"Avenida Moacir Dias de Morais, 525 - Joaquim
Marinheiro";(16) 3761-9474 / 9499;6997600.0;Escorpiônico
BAURU;"Pronto Socorro Municipal Central
(PSMC)";"Rua Rubens Arruda, Qd.
07, s/n";(14) 3104-1160/1166;4047303.0;Botrópico, Crotálico, Escorpiônico, Lonômico e Loxoscélico, Fonêutrico.
BAURU;UPA Bela Vista;"Rua Marçal de Arruda Campos, Quadra 4-45 -
Vila Lemos";(14) 3102-1213/1212/1214/1234;6822576.0;Botrópico, Crotálico, Elapídico, Escorpiônico e Loxoscélico, Fonêutrico.
BEBEDOURO;"Hospital Municipal de
Bebedouro";"Avenida Raul Furquim,
2010 - Jardim Julia";(17) 3344-8100;2082381.0;"Botrópico, Crotálico, Escorpiônico,
Loxoscélico, Fonêutrico e Lonômico."
BERTIOGA;"Hospital Municipal de
Bertioga";"Praça Vicente Molinari,
s/n - Vila Itapanhau";(13) 3319-9900;2083272.0;"Botrópico, Loxoscélico, Fonêutrico e
Escorpiônico."
BIRIGUI;"Pronto Socorro Municipal Dr. Alceu
Lot";Rua Luiz Oba, 249 - Patrimônio Silvares;(18) 3638-8580;9200223.0;Botrópico, Crotálico, Loxoscélico, Fonêutrico e Escorpiônico.
BOCAINA;"Santa casa de
Misericórdia de Bocaina";Rua Cerqueira César,239 - Centro;(14) 3666-1190;2791730.0;Escorpiônico
BORACEIA;"Pronto Atendimento
Municipal de Boracéia";Rua Antônio de Freitas Pereira, 300 - Centro;(14)32959105;9276203.0;Escorpiônico
BOTUCATU;"Hospital da Clínicas da Faculdade de Medicina de
Botucatu";"Avenida Prof. Mario Rubens Guimarães Montenegro, s/n - UNESP
Botucatu";(14) 3811-6129;2748223.0;Botrópico, Crotálico, Elapídico, Laquético, Escorpiônico, Loxoscélico, Fonêutrico e Lonômico
BRAGANCA PAULISTA;"Hospital Universitário
S. Francisco na
Providência de Deus";"Avenida São Francisco de Assis, 218 - Cidade
Universitária";(11) 2454-8681;2704900.0;Botrópico, Crotálico, Loxoscélico, Fonêutrico e Escorpiônico.
BROTAS;Hospital Santa Terezinha;"Av. Rui Barbosa, 703 - Centro, Brotas - SP, CEP
17380-000";(14)3653-9100;2665883.0;Botrópico, Crotálico, Loxoscélico, Fonêutrico e Escorpiônico.
