Município;2016;2017;2018;2019;2020;2021;2022;2023;media
350010 ADAMANTINA;4184;4173;4200;4242;4282;4302;4302;4283;4246
350020 ADOLFO;531;544;563;580;598;612;619;618;583,125
350030 AGUAI;5368;5314;5275;5222;5155;5070;4969;4863;5154,5
350040 AGUAS DA PRATA;971;966;962;962;959;952;930;898;950
350050 AGUAS DE LINDOIA;2371;2345;2324;2295;2258;2212;2152;2085;2255,25
350055 AGUAS DE SANTA BARBARA;1000;1012;1023;1031;1031;1025;1015;994;1016,375
350060 AGUAS DE SAO PEDRO;292;291;291;289;287;284;277;262;284,125
350070 AGUDOS;5914;5937;5973;6002;6009;5990;5933;5839;5949,625
350075 ALAMBARI;970;977;980;977;971;962;949;931;964,625
350080 ALFREDO MARCONDES;520;525;539;555;572;586;596;594;560,875
350090 ALTAIR;627;617;603;589;570;552;530;505;574,125
350100 ALTINOPOLIS;2342;2361;2392;2425;2456;2471;2471;2447;2420,625
350110 ALTO ALEGRE;498;490;484;478;471;461;445;424;468,875
350115 ALUMINIO;2967;2931;2903;2874;2838;2791;2731;2662;2837,125
350120 ALVARES FLORENCE;417;418;425;433;439;443;441;431;430,875
350130 ALVARES MACHADO;3839;3889;3965;4054;4139;4201;4238;4244;4071,125
350140 ALVARO DE CARVALHO;573;559;548;535;517;500;482;462;522
350150 ALVINLANDIA;499;493;485;480;467;456;440;419;467,375
350160 AMERICANA;30492;30672;30952;31228;31404;31468;31378;31203;31099,625
350170 AMERICO BRASILIENSE;5793;5692;5592;5482;5351;5206;5042;4866;5378
350180 AMERICO DE CAMPOS;744;738;736;733;729;721;709;691;725,125
350190 AMPARO;8951;8942;8972;9016;9037;9009;8913;8751;8948,875
350200 ANALANDIA;738;735;736;736;732;724;715;705;727,625
350210 ANDRADINA;7846;7881;7959;8046;8113;8138;8103;8006;8011,5
350220 ANGATUBA;3805;3807;3821;3841;3848;3846;3817;3765;3818,75
350230 ANHEMBI;1015;998;983;970;952;931;907;885;955,125
350240 ANHUMAS;579;579;584;596;600;605;602;595;592,5
350250 APARECIDA;5010;4939;4894;4853;4808;4737;4633;4499;4796,625
350260 APARECIDA D'OESTE;492;488;491;496;499;501;493;475;491,875
350270 APIAI;4292;4224;4176;4129;4070;3998;3897;3771;4069,625
350275 ARACARIGUAMA;3821;3841;3851;3848;3824;3800;3774;3768;3815,875
350280 ARACATUBA;26582;26772;27028;27253;27382;27385;27230;26949;27072,625
350290 ARACOIABA DA SERRA;4583;4575;4559;4521;4466;4392;4291;4166;4444,125
350300 ARAMINA;758;763;769;771;771;766;754;730;760,25
350310 ARANDU;1025;1037;1059;1082;1101;1115;1120;1114;1081,625
350315 ARAPEI;367;354;345;339;331;320;311;294;332,625
350320 ARARAQUARA;31496;31919;32373;32759;33017;33120;33024;32767;32559,375
350330 ARARAS;18097;18184;18311;18414;18452;18415;18279;18070;18277,75
350335 ARCO-IRIS;284;288;294;306;313;323;322;313;305,375
350340 AREALVA;1075;1075;1082;1091;1102;1104;1098;1078;1088,125
350350 AREIAS;607;596;585;580;572;563;552;537;574
350360 AREIOPOLIS;1807;1773;1747;1719;1690;1652;1610;1561;1694,875
350370 ARIRANHA;1191;1157;1121;1090;1051;1013;970;926;1064,875
350380 ARTUR NOGUEIRA;7874;7897;7932;7948;7937;7902;7838;7762;7886,25
350390 ARUJA;13839;13852;13885;13895;13854;13758;13596;13394;13759,125
350395 ASPASIA;226;229;232;242;251;258;257;253;243,5
350400 ASSIS;14276;14320;14374;14394;14356;14246;14038;13746;14218,75
350410 ATIBAIA;21902;22205;22563;22891;23150;23300;23326;23255;22824
350420 AURIFLAMA;1803;1797;1799;1811;1820;1819;1795;1748;1799
350430 AVAI;741;727;724;729;730;724;715;695;723,125
350440 AVANHANDAVA;1783;1762;1744;1719;1691;1655;1606;1553;1689,125
350450 AVARE;13851;13927;14045;14155;14218;14212;14131;13989;14066
350460 BADY BASSITT;3007;3204;3427;3669;3915;4149;4345;4504;3777,5
350470 BALBINOS;206;204;200;198;194;189;186;179;194,5
350480 BALSAMO;1163;1177;1193;1204;1207;1210;1212;1202;1196
350490 BANANAL;1566;1533;1510;1489;1468;1443;1416;1391;1477
350500 BARAO DE ANTONINA;573;575;575;576;572;571;565;559;570,75
350510 BARBOSA;990;971;952;943;929;907;882;850;928
350520 BARIRI;4694;4658;4651;4657;4650;4631;4582;4519;4630,25
