Município;2016;2017;2018;2019;2020;2021;2022;2023;media
350010 ADAMANTINA;6842;7005;7186;7367;7531;7662;7793;7962;7418,5
350020 ADOLFO;710;742;776;809;845;873;905;942;825,25
350030 AGUAI;4559;4707;4858;5018;5165;5286;5414;5571;5072,25
350040 AGUAS DA PRATA;1674;1730;1785;1843;1894;1939;1978;2016;1857,375
350050 AGUAS DE LINDOIA;3222;3342;3475;3604;3733;3835;3947;4073;3653,875
350055 AGUAS DE SANTA BARBARA;1118;1184;1249;1323;1393;1457;1521;1588;1354,125
350060 AGUAS DE SAO PEDRO;766;791;817;850;876;899;915;924;854,75
350070 AGUDOS;5027;5236;5443;5651;5853;6025;6195;6392;5727,75
350075 ALAMBARI;763;808;863;917;968;1015;1068;1112;939,25
350080 ALFREDO MARCONDES;878;897;918;953;982;1005;1025;1046;963
350090 ALTAIR;491;505;522;536;556;571;584;599;545,5
350100 ALTINOPOLIS;2732;2819;2894;2983;3061;3127;3184;3266;3008,25
350110 ALTO ALEGRE;918;935;952;968;985;996;1009;1024;973,375
350115 ALUMINIO;1959;2046;2130;2222;2310;2392;2473;2574;2263,25
350120 ALVARES FLORENCE;955;974;1003;1034;1064;1083;1103;1124;1042,5
350130 ALVARES MACHADO;3834;3965;4111;4262;4414;4542;4679;4839;4330,75
350140 ALVARO DE CARVALHO;537;555;569;585;601;611;624;634;589,5
350150 ALVINLANDIA;448;456;470;484;496;501;513;515;485,375
350160 AMERICANA;34691;36185;37743;39342;40890;42254;43599;45127;39978,875
350170 AMERICO BRASILIENSE;3599;3745;3902;4063;4217;4357;4510;4694;4135,875
350180 AMERICO DE CAMPOS;1171;1205;1237;1276;1312;1336;1361;1397;1286,875
350190 AMPARO;11405;11768;12133;12504;12843;13125;13385;13700;12607,875
350200 ANALANDIA;697;715;738;771;796;817;841;859;779,25
350210 ANDRADINA;9905;10197;10498;10815;11121;11376;11620;11921;10931,625
350220 ANGATUBA;3253;3379;3509;3646;3778;3894;4011;4151;3702,625
350230 ANHEMBI;809;840;870;906;938;967;994;1025;918,625
350240 ANHUMAS;617;643;669;698;725;742;768;790;706,5
350250 APARECIDA;5239;5403;5574;5749;5909;6048;6188;6355;5808,125
350260 APARECIDA D'OESTE;963;979;995;1009;1026;1033;1040;1065;1013,75
350270 APIAI;3321;3418;3523;3633;3732;3819;3906;4013;3670,625
350275 ARACARIGUAMA;1846;1961;2091;2225;2365;2500;2636;2775;2299,875
350280 ARACATUBA;31687;32792;33932;35092;36194;37134;38074;39226;35516,375
