Município;2016;2017;2018;2019;2020;2021;2022;2023;media
350010 ADAMANTINA;35338;35415;35507;35611;35692;35690;35652;35644;35568,625
350020 ADOLFO;3961;4028;4111;4185;4263;4328;4381;4418;4209,375
350030 AGUAI;33460;33440;33409;33382;33332;33215;33081;32975;33286,75
350040 AGUAS DA PRATA;7714;7699;7677;7659;7637;7597;7544;7487;7626,75
350050 AGUAS DE LINDOIA;18104;18165;18228;18272;18310;18308;18274;18250;18238,875
350055 AGUAS DE SANTA BARBARA;6440;6589;6724;6870;7010;7131;7231;7309;6913
350060 AGUAS DE SAO PEDRO;2816;2831;2842;2856;2860;2857;2852;2813;2840,875
350070 AGUDOS;37247;37520;37789;38064;38323;38496;38617;38734;38098,75
350075 ALAMBARI;5571;5685;5793;5908;6003;6094;6174;6234;5932,75
350080 ALFREDO MARCONDES;4194;4234;4287;4358;4418;4464;4507;4516;4372,25
350090 ALTAIR;3775;3745;3704;3665;3633;3577;3530;3469;3637,25
350100 ALTINOPOLIS;16507;16618;16718;16833;16941;17018;17060;17095;16848,75
350110 ALTO ALEGRE;4103;4079;4053;4035;4015;3977;3941;3886;4011,125
350115 ALUMINIO;17606;17652;17667;17697;17706;17679;17640;17603;17656,25
350120 ALVARES FLORENCE;4000;3989;3995;4009;4014;4003;3994;3972;3997
350130 ALVARES MACHADO;25712;26061;26416;26783;27151;27446;27706;27975;26906,25
350140 ALVARO DE CARVALHO;4879;4895;4896;4903;4912;4893;4895;4865;4892,25
350150 ALVINLANDIA;3051;3035;3028;3027;3000;2973;2953;2901;2996
350160 AMERICANA;231272;233591;235858;238144;240296;241968;243401;245019;238693,625
350170 AMERICO BRASILIENSE;35430;35278;35119;34945;34752;34501;34232;33985;34780,25
350180 AMERICO DE CAMPOS;5949;5961;5966;5984;6001;5999;5981;5962;5975,375
350190 AMPARO;69218;69416;69590;69774;69909;69899;69798;69733;69667,125
350200 ANALANDIA;4546;4571;4585;4621;4639;4640;4648;4646;4612
350210 ANDRADINA;59126;59514;59906;60320;60702;60942;61101;61278;60361,125
350220 ANGATUBA;23602;23765;23914;24070;24203;24302;24366;24434;24082
350230 ANHEMBI;5842;5843;5832;5838;5829;5820;5795;5773;5821,5
350240 ANHUMAS;3946;3974;4004;4037;4059;4075;4084;4078;4032,125
350250 APARECIDA;35307;35091;34859;34647;34414;34126;33799;33496;34467,375
350260 APARECIDA D'OESTE;4397;4361;4329;4298;4272;4234;4188;4141;4277,5
350270 APIAI;25836;25767;25690;25607;25511;25368;25195;25035;25501,125
350275 ARACARIGUAMA;19513;19897;20247;20596;20924;21241;21537;21835;20723,75
350280 ARACATUBA;197572;199212;200824;202442;203921;204946;205745;206702;202670,5
350290 ARACOIABA DA SERRA;30704;31167;31605;32026;32432;32777;33070;33345;32140,75
350300 ARAMINA;5415;5445;5462;5488;5519;5525;5523;5504;5485,125
350310 ARANDU;6573;6637;6702;6779;6860;6911;6955;6986;6800,375
350315 ARAPEI;2481;2460;2448;2429;2421;2399;2381;2334;2419,125
350320 ARARAQUARA;232272;235279;238224;241162;243953;246215;248172;250194;241933,875
350330 ARARAS;128974;130035;131042;132044;132954;133599;134117;134715;132185
350335 ARCO-IRIS;2017;2032;2035;2056;2068;2084;2084;2061;2054,625
350340 AREALVA;8178;8207;8234;8268;8306;8314;8307;8282;8262
350350 AREIAS;3738;3724;3707;3695;3682;3656;3638;3608;3681
350360 AREIOPOLIS;10701;10659;10607;10559;10509;10437;10361;10291;10515,5
350370 ARIRANHA;8397;8320;8228;8148;8054;7933;7831;7723;8079,25
350380 ARTUR NOGUEIRA;49033;49658;50245;50831;51379;51845;52268;52693;50994
350390 ARUJA;83054;84130;85142;86121;87053;87829;88515;89218;86382,75
350395 ASPASIA;1853;1850;1844;1858;1862;1867;1856;1841;1853,875
350400 ASSIS;101914;102469;102995;103500;103948;104148;104235;104403;103451,5
350410 ATIBAIA;144891;147734;150555;153402;156184;158675;161031;163484;154494,5
350420 AURIFLAMA;14330;14293;14246;14228;14199;14134;14037;13946;14176,625
350430 AVAI;4845;4795;4752;4716;4677;4629;4583;4529;4690,75
350440 AVANHANDAVA;11681;11681;11659;11639;11614;11574;11500;11454;11600,25
350450 AVARE;90392;91268;92151;93018;93823;94420;94934;95496;93187,75
350460 BADY BASSITT;19527;20689;21907;23190;24521;25817;26991;27983;23828,125
350470 BALBINOS;3965;3987;4004;4031;4053;4084;4067;4000;4023,875
350480 BALSAMO;8970;9089;9214;9339;9470;9572;9659;9735;9381
350490 BANANAL;10402;10380;10345;10321;10289;10246;10182;10139;10288
350500 BARAO DE ANTONINA;3376;3412;3437;3487;3517;3549;3565;3568;3488,875
350510 BARBOSA;6322;6233;6150;6070;5982;5882;5791;5704;6016,75
350520 BARIRI;32722;32719;32720;32734;32733;32664;32558;32470;32665
350530 BARRA BONITA;36221;36150;36069;35996;35894;35739;35532;35334;35866,875
350535 BARRA DO CHAPEU;5359;5340;5330;5332;5321;5291;5277;5245;5311,875
350540 BARRA DO TURVO;7587;7504;7423;7346;7273;7172;7077;6982;7295,5
350550 BARRETOS;121196;122096;122940;123778;124540;125047;125453;125971;123877,625
350560 BARRINHA;31367;31692;31951;32213;32455;32640;32808;32980;32263,25
350570 BARUERI;283874;290379;296526;302517;308381;313815;319088;324507;304885,875
350580 BASTOS;21505;21605;21688;21783;21860;21896;21891;21892;21765
350590 BATATAIS;59374;59539;59707;59871;59988;59994;59924;59886;59785,375
350600 BAURU;372598;375665;378647;381628;384380;386343;387918;389785;382120,5
350610 BEBEDOURO;78191;78310;78430;78568;78661;78586;78429;78318;78436,625
350620 BENTO DE ABREU;2692;2693;2683;2686;2680;2669;2657;2613;2671,625
350630 BERNARDINO DE CAMPOS;11373;11436;11511;11594;11682;11735;11769;11796;11612
350635 BERTIOGA;56352;57792;59161;60507;61837;63093;64304;65556;61075,25
350640 BILAC;7322;7341;7370;7416;7450;7464;7460;7436;7407,375
350650 BIRIGUI;117605;118509;119385;120285;121107;121655;122063;122510;120389,875
350660 BIRITIBA MIRIM;30341;30444;30525;30580;30627;30622;30582;30543;30533
350670 BOA ESPERANCA DO SUL;13742;13685;13613;13548;13484;13383;13286;13198;13492,375
350680 BOCAINA;11362;11401;11434;11458;11490;11480;11473;11463;11445,125
350690 BOFETE;10339;10422;10501;10565;10629;10666;10683;10673;10559,75
350700 BOITUVA;55554;56672;57744;58784;59802;60719;61573;62464;59164
350710 BOM JESUS DOS PERDOES;21286;21478;21659;21839;22012;22142;22248;22371;21879,375
350715 BOM SUCESSO DE ITARARE;3661;3663;3655;3638;3632;3622;3606;3576;3631,625
350720 BORA;839;858;866;877;890;905;911;886;879
350730 BORACEIA;4572;4606;4651;4701;4726;4749;4776;4783;4695,5
350740 BORBOREMA;14860;14842;14811;14782;14734;14676;14576;14489;14721,25
350745 BOREBI;2534;2568;2602;2648;2687;2720;2747;2742;2656
350750 BOTUCATU;140599;142180;143659;145098;146408;147427;148317;149324;145376,5
350760 BRAGANCA PAULISTA;165538;168201;170810;173394;175892;178066;180113;182311;174290,625
350770 BRAUNA;5286;5319;5345;5381;5410;5427;5446;5438;5381,5
350775 BREJO ALEGRE;2634;2639;2641;2630;2632;2635;2626;2581;2627,25
350780 BRODOWSKI;23452;23856;24232;24628;25010;25340;25624;25889;24753,875
350790 BROTAS;23250;23468;23663;23855;24013;24144;24235;24331;23869,875
350800 BURI;19886;20029;20156;20279;20390;20458;20512;20582;20286,5
350810 BURITAMA;16676;16836;16995;17155;17308;17405;17477;17529;17172,625
350820 BURITIZAL;4309;4343;4368;4390;4407;4427;4437;4419;4387,5
350830 CABRALIA PAULISTA;4450;4437;4435;4414;4422;4400;4388;4349;4411,875
350840 CABREUVA;45758;46209;46625;47012;47358;47644;47885;48166;47082,125
350850 CACAPAVA;93207;94210;95175;96151;97046;97767;98376;99021;96369,125
350860 CACHOEIRA PAULISTA;31898;32020;32147;32283;32392;32444;32455;32465;32263
350870 CACONDE;18261;18147;18036;17929;17814;17675;17515;17379;17844,5
350880 CAFELANDIA;17023;17033;17036;17052;17060;17032;16987;16932;17019,375
350890 CAIABU;4000;3977;3943;3914;3880;3843;3803;3756;3889,5
350900 CAIEIRAS;94235;94987;95670;96305;96885;97300;97601;97942;96365,625
350910 CAIUA;5308;5348;5382;5426;5481;5508;5536;5546;5441,875
350920 CAJAMAR;77978;80475;82957;85445;87940;90322;92646;94979;86592,75
350925 CAJATI;29728;29744;29739;29726;29694;29598;29464;29353;29630,75
350930 CAJOBI;9731;9677;9621;9572;9519;9445;9363;9284;9526,5
350940 CAJURU;24313;24361;24386;24403;24407;24363;24301;24244;24347,25
350945 CAMPINA DO MONTE ALEGRE;5871;5899;5935;5968;6003;6017;6036;6037;5970,75
350950 CAMPINAS;1166111;1171294;1175805;1180064;1183538;1184538;1184361;1184995;1178838,25
350960 CAMPO LIMPO PAULISTA;78868;79186;79458;79674;79852;79862;79785;79711;79549,5
350970 CAMPOS DO JORDAO;49271;49207;49108;49020;48901;48702;48444;48206;48857,375
350980 CAMPOS NOVOS PAULISTA;4799;4839;4864;4894;4931;4954;4970;4961;4901,5
350990 CANANEIA;12680;12692;12683;12681;12665;12628;12569;12527;12640,625
350995 CANAS;4768;4812;4848;4886;4927;4951;4985;4990;4895,875
351000 CANDIDO MOTA;30856;30835;30789;30755;30700;30585;30426;30293;30654,875
351010 CANDIDO RODRIGUES;2834;2861;2882;2903;2919;2930;2944;2926;2899,875
351015 CANITAR;5239;5422;5594;5777;5949;6122;6279;6385;5845,875
351020 CAPAO BONITO;48181;48193;48184;48159;48102;47958;47757;47583;48014,625
351030 CAPELA DO ALTO;20128;20601;21061;21526;22015;22446;22836;23204;21727,125
351040 CAPIVARI;51185;51303;51399;51490;51546;51508;51419;51364;51401,75
351050 CARAGUATATUBA;119123;122177;125175;128171;131147;133843;136319;138702;129332,125
351060 CARAPICUIBA;395235;396807;397979;398951;399664;399636;399162;398783;398277,125
351070 CARDOSO;12022;11988;11933;11891;11837;11746;11660;11563;11830
351080 CASA BRANCA;29260;29225;29201;29181;29154;29067;28954;28864;29113,25
351090 CASSIA DOS COQUEIROS;2800;2813;2822;2845;2862;2867;2861;2831;2837,625
351100 CASTILHO;19415;19603;19763;19940;20098;20211;20282;20341;19956,625
351110 CATANDUVA;118823;119090;119334;119590;119750;119643;119403;119271;119363
351120 CATIGUA;7305;7293;7276;7256;7242;7194;7149;7112;7228,375
351130 CEDRAL;9864;10284;10715;11162;11640;12063;12454;12809;11373,875
351140 CERQUEIRA CESAR;19620;19969;20300;20636;20971;21276;21544;21805;20765,125
351150 CERQUILHO;43472;43920;44337;44755;45129;45435;45683;45931;44832,75
351160 CESARIO LANGE;17528;17832;18124;18397;18666;18899;19108;19331;18485,625
351170 CHARQUEADA;15711;15753;15777;15811;15831;15817;15790;15782;15784
351190 CLEMENTINA;7261;7261;7235;7222;7204;7162;7134;7095;7196,75
