Município;POP10;POP11A59;POP60;POP_GERAL
350010 ADAMANTINA;4246;23904,125;7418,5;35568,625
350020 ADOLFO;583,125;2801;825,25;4209,375
350030 AGUAI;5154,5;23060;5072,25;33286,75
350040 AGUAS DA PRATA;950;4819,375;1857,375;7626,75
350050 AGUAS DE LINDOIA;2255,25;12329,75;3653,875;18238,875
350055 AGUAS DE SANTA BARBARA;1016,375;4542,5;1354,125;6913
350060 AGUAS DE SAO PEDRO;284,125;1702;854,75;2840,875
350070 AGUDOS;5949,625;26421,375;5727,75;38098,75
350075 ALAMBARI;964,625;4028,875;939,25;5932,75
350080 ALFREDO MARCONDES;560,875;2848,375;963;4372,25
350090 ALTAIR;574,125;2517,625;545,5;3637,25
350100 ALTINOPOLIS;2420,625;11419,875;3008,25;16848,75
350110 ALTO ALEGRE;468,875;2568,875;973,375;4011,125
350115 ALUMINIO;2837,125;12555,875;2263,25;17656,25
350120 ALVARES FLORENCE;430,875;2523,625;1042,5;3997
350130 ALVARES MACHADO;4071,125;18504,375;4330,75;26906,25
350140 ALVARO DE CARVALHO;522;3780,75;589,5;4892,25
350150 ALVINLANDIA;467,375;2043,25;485,375;2996
350160 AMERICANA;31099,625;167615,125;39978,875;238693,625
350170 AMERICO BRASILIENSE;5378;25266,375;4135,875;34780,25
350180 AMERICO DE CAMPOS;725,125;3963,375;1286,875;5975,375
350190 AMPARO;8948,875;48110,375;12607,875;69667,125
350200 ANALANDIA;727,625;3105,125;779,25;4612
350210 ANDRADINA;8011,5;41418;10931,625;60361,125
350220 ANGATUBA;3818,75;16560,625;3702,625;24082
350230 ANHEMBI;955,125;3947,75;918,625;5821,5
350240 ANHUMAS;592,5;2733,125;706,5;4032,125
350250 APARECIDA;4796,625;23862,625;5808,125;34467,375
350260 APARECIDA D'OESTE;491,875;2771,875;1013,75;4277,5
350270 APIAI;4069,625;17760,875;3670,625;25501,125
350275 ARACARIGUAMA;3815,875;14608;2299,875;20723,75
350280 ARACATUBA;27072,625;140081,5;35516,375;202670,5
350290 ARACOIABA DA SERRA;4444,125;21725,25;5971,375;32140,75
350300 ARAMINA;760,25;3715,625;1009,25;5485,125
350310 ARANDU;1081,625;4632,5;1086,25;6800,375
350315 ARAPEI;332,625;1636,125;450,375;2419,125
350320 ARARAQUARA;32559,375;168714,375;40660,125;241933,875
350330 ARARAS;18277,75;92372,5;21534,75;132185
350335 ARCO-IRIS;305,375;1345,875;403,375;2054,625
350340 AREALVA;1088,125;5293;1880,875;8262
350350 AREIAS;574;2512,25;594,75;3681
350360 AREIOPOLIS;1694,875;7590,5;1230,125;10515,5
350370 ARIRANHA;1064,875;5554;1460,375;8079,25
350380 ARTUR NOGUEIRA;7886,25;36403,625;6704,125;50994
350390 ARUJA;13759,125;61818,5;10805,125;86382,75
350395 ASPASIA;243,5;1212,25;398,125;1853,875
350400 ASSIS;14218,75;71490,25;17742,5;103451,5
350410 ATIBAIA;22824;106895,125;24775,375;154494,5
350420 AURIFLAMA;1799;9627,5;2750,125;14176,625
350430 AVAI;723,125;3196,625;771;4690,75
350440 AVANHANDAVA;1689,125;8415,875;1495,25;11600,25
350450 AVARE;14066;64495,125;14626,625;93187,75
350460 BADY BASSITT;3777,5;17041,875;3008,75;23828,125
350470 BALBINOS;194,5;3520,125;309,25;4023,875
350480 BALSAMO;1196;6436,125;1748,875;9381
