IBGE;MUNI;POP10;POP11A59;POP60;POP_GERAL
350010;ADAMANTINA;4302;23557;7793;35652
350020;ADOLFO;619;2857;905;4381
350030;AGUAI;4969;22698;5414;33081
350040;AGUAS DA PRATA;930;4636;1978;7544
350050;AGUAS DE LINDOIA;2152;12175;3947;18274
350055;AGUAS DE SANTA BARBARA;1015;4695;1521;7231
350060;AGUAS DE SAO PEDRO;277;1660;915;2852
350070;AGUDOS;5933;26489;6195;38617
350075;ALAMBARI;949;4157;1068;6174
350080;ALFREDO MARCONDES;596;2886;1025;4507
350090;ALTAIR;530;2416;584;3530
350100;ALTINOPOLIS;2471;11405;3184;17060
350110;ALTO ALEGRE;445;2487;1009;3941
350115;ALUMINIO;2731;12436;2473;17640
350120;ALVARES FLORENCE;441;2450;1103;3994
350130;ALVARES MACHADO;4238;18789;4679;27706
350140;ALVARO DE CARVALHO;482;3789;624;4895
350150;ALVINLANDIA;440;2000;513;2953
350160;AMERICANA;31378;168424;43599;243401
350170;AMERICO BRASILIENSE;5042;24680;4510;34232
350180;AMERICO DE CAMPOS;709;3911;1361;5981
350190;AMPARO;8913;47500;13385;69798
350200;ANALANDIA;715;3092;841;4648
350210;ANDRADINA;8103;41378;11620;61101
350220;ANGATUBA;3817;16538;4011;24366
350230;ANHEMBI;907;3894;994;5795
350240;ANHUMAS;602;2714;768;4084
350250;APARECIDA;4633;22978;6188;33799
350260;APARECIDA D'OESTE;493;2655;1040;4188
350270;APIAI;3897;17392;3906;25195
350275;ARACARIGUAMA;3774;15127;2636;21537
350280;ARACATUBA;27230;140441;38074;205745
350290;ARACOIABA DA SERRA;4291;22016;6763;33070
350300;ARAMINA;754;3680;1089;5523
350310;ARANDU;1120;4653;1182;6955
350315;ARAPEI;311;1580;490;2381
350320;ARARAQUARA;33024;171285;43863;248172
350330;ARARAS;18279;92464;23374;134117
350335;ARCO-IRIS;322;1332;430;2084
350340;AREALVA;1098;5198;2011;8307
350350;AREIAS;552;2445;641;3638
350360;AREIOPOLIS;1610;7436;1315;10361
350370;ARIRANHA;970;5323;1538;7831
350380;ARTUR NOGUEIRA;7838;37021;7409;52268
350390;ARUJA;13596;62787;12132;88515
350395;ASPASIA;257;1180;419;1856
350400;ASSIS;14038;71332;18865;104235
350410;ATIBAIA;23326;110305;27400;161031
350420;AURIFLAMA;1795;9339;2903;14037
350430;AVAI;715;3054;814;4583
350440;AVANHANDAVA;1606;8294;1600;11500
350450;AVARE;14131;65090;15713;94934
350460;BADY BASSITT;4345;19171;3475;26991
350470;BALBINOS;186;3556;325;4067
350480;BALSAMO;1212;6575;1872;9659
350490;BANANAL;1416;6838;1928;10182
350500;BARAO DE ANTONINA;565;2304;696;3565
350510;BARBOSA;882;3840;1069;5791
350520;BARIRI;4582;21688;6288;32558
350530;BARRA BONITA;4085;24230;7217;35532
350535;BARRA DO CHAPEU;861;3645;771;5277
350540;BARRA DO TURVO;1136;4606;1335;7077
350550;BARRETOS;17549;86606;21298;125453
350560;BARRINHA;5431;23621;3756;32808
350570;BARUERI;50728;232301;36059;319088
350580;BASTOS;3081;14836;3974;21891
350590;BATATAIS;8116;40391;11417;59924
350600;BAURU;53258;268883;65777;387918
350610;BEBEDOURO;10766;53083;14580;78429
350620;BENTO DE ABREU;427;1790;440;2657
350630;BERNARDINO DE CAMPOS;1535;8007;2227;11769
350635;BERTIOGA;10762;45595;7947;64304
350640;BILAC;965;4895;1600;7460
350650;BIRIGUI;16663;84404;20996;122063
350660;BIRITIBA MIRIM;4607;21046;4929;30582
350670;BOA ESPERANCA DO SUL;2150;9074;2062;13286
350680;BOCAINA;1629;7898;1946;11473
350690;BOFETE;1528;6926;2229;10683
350700;BOITUVA;9240;43010;9323;61573
350710;BOM JESUS DOS PERDOES;3367;15652;3229;22248
350715;BOM SUCESSO DE ITARARE;662;2529;415;3606
350720;BORA;142;595;174;911
350730;BORACEIA;771;3263;742;4776
350740;BORBOREMA;1831;9673;3072;14576
350745;BOREBI;481;1877;389;2747
350750;BOTUCATU;20600;102286;25431;148317
350760;BRAGANCA PAULISTA;24605;125843;29665;180113
350770;BRAUNA;839;3529;1078;5446
350775;BREJO ALEGRE;352;1767;507;2626
350780;BRODOWSKI;3769;17629;4226;25624
350790;BROTAS;3383;16576;4276;24235
350800;BURI;3662;14151;2699;20512
350810;BURITAMA;2336;11535;3606;17477
350820;BURITIZAL;618;2943;876;4437
350830;CABRALIA PAULISTA;646;3015;727;4388
350840;CABREUVA;7792;34301;5792;47885
350850;CACAPAVA;14565;67736;16075;98376
350860;CACHOEIRA PAULISTA;4814;21928;5713;32455
350870;CACONDE;2399;11432;3684;17515
350880;CAFELANDIA;2465;11308;3214;16987
350890;CAIABU;495;2482;826;3803
350900;CAIEIRAS;14438;69868;13295;97601
350910;CAIUA;537;4051;948;5536
350920;CAJAMAR;15689;67802;9155;92646
350925;CAJATI;5053;20212;4199;29464
350930;CAJOBI;1205;6261;1897;9363
350940;CAJURU;3549;16681;4071;24301
350945;CAMPINA DO MONTE ALEGRE;883;4097;1056;6036
350950;CAMPINAS;156012;823267;205082;1184361
350960;CAMPO LIMPO PAULISTA;12015;55704;12066;79785
350970;CAMPOS DO JORDAO;7239;34159;7046;48444
350980;CAMPOS NOVOS PAULISTA;795;3307;868;4970
350990;CANANEIA;1915;8358;2296;12569
350995;CANAS;868;3454;663;4985
351000;CANDIDO MOTA;4147;20392;5887;30426
351010;CANDIDO RODRIGUES;333;1918;693;2944
351015;CANITAR;1157;4456;666;6279
351020;CAPAO BONITO;7322;33077;7358;47757
351030;CAPELA DO ALTO;3484;16248;3104;22836
351040;CAPIVARI;7558;35913;7948;51419
351050;CARAGUATATUBA;21430;93511;21378;136319
351060;CARAPICUIBA;62430;285396;51336;399162
351070;CARDOSO;1423;7451;2786;11660
351080;CASA BRANCA;3830;19870;5254;28954
351090;CASSIA DOS COQUEIROS;341;1870;650;2861
351100;CASTILHO;3022;13595;3665;20282
351110;CATANDUVA;15498;81051;22854;119403
351120;CATIGUA;959;4951;1239;7149
351130;CEDRAL;1783;8600;2071;12454
351140;CERQUEIRA CESAR;3212;14946;3386;21544
351150;CERQUILHO;6276;31734;7673;45683
351160;CESARIO LANGE;2856;13344;2908;19108
351170;CHARQUEADA;2393;10881;2516;15790
351190;CLEMENTINA;1126;4861;1147;7134
351200;COLINA;2793;12773;3211;18777
351210;COLOMBIA;1080;4586;1075;6741
351220;CONCHAL;4632;20095;3964;28691
351230;CONCHAS;2161;10273;3192;15626
351240;CORDEIROPOLIS;3773;17392;3509;24674
351250;COROADOS;797;3702;1018;5517
351260;CORONEL MACEDO;582;2905;917;4404
351270;CORUMBATAI;644;2910;692;4246
351280;COSMOPOLIS;8903;43587;8998;61488
351290;COSMORAMA;1214;5715;1802;8731
351300;COTIA;45302;196790;33187;275279
351310;CRAVINHOS;4667;23890;5696;34253
351320;CRISTAIS PAULISTA;1467;6345;1540;9352
351330;CRUZALIA;261;1392;507;2160
351340;CRUZEIRO;10787;52350;14286;77423
351350;CUBATAO;18483;82864;15330;116677
351360;CUNHA;2991;15180;4353;22524
351370;DESCALVADO;4289;22257;6213;32759
351380;DIADEMA;57524;295814;53262;406600
351385;DIRCE REIS;198;1078;384;1660
351390;DIVINOLANDIA;1371;7534;2475;11380
351400;DOBRADA;1390;6386;1114;8890
351410;DOIS CORREGOS;3731;16928;4399;25058
351420;DOLCINOPOLIS;266;1480;500;2246
351430;DOURADO;980;5606;1715;8301
351440;DRACENA;5747;31129;9699;46575
351450;DUARTINA;1583;8250;2768;12601
351460;DUMONT;1362;6845;1345;9552
351470;ECHAPORA;966;4158;1209;6333
351480;ELDORADO;2370;8899;2195;13464
351490;ELIAS FAUSTO;2790;12465;2624;17879
351492;ELISIARIO;432;2173;588;3193
351495;EMBAUBA;290;1581;509;2380
351500;EMBU DAS ARTES;42185;187327;30543;260055
351510;EMBU-GUACU;10896;48009;9758;68663
351512;EMILIANOPOLIS;391;1996;701;3088
351515;ENGENHEIRO COELHO;3239;14161;2166;19566
351518;ESPIRITO SANTO DO PINHAL;4935;28173;8150;41258
351519;ESPIRITO SANTO DO TURVO;719;2924;580;4223
351520;ESTRELA D'OESTE;1210;6477;1817;9504
351530;ESTRELA DO NORTE;397;1855;497;2749
351535;EUCLIDES DA CUNHA PAULISTA;1186;5530;1453;8169
351540;FARTURA;2372;11227;3307;16906
351550;FERNANDOPOLIS;9444;48567;14523;72534
351560;FERNANDO PRESTES;736;4018;1282;6036
351565;FERNAO;257;1089;332;1678
351570;FERRAZ DE VASCONCELOS;30247;132806;22214;185267
351580;FLORA RICA;180;943;405;1528
351590;FLOREAL;275;1704;825;2804
351600;FLORIDA PAULISTA;1577;9268;2392;13237
351610;FLORINEA;391;2918;577;3886
351620;FRANCA;52215;250252;58352;360819
351630;FRANCISCO MORATO;30030;120903;19553;170486
351640;FRANCO DA ROCHA;23391;107635;17653;148679
351650;GABRIEL MONTEIRO;361;1838;634;2833
351660;GALIA;833;4263;1463;6559
351670;GARCA;5742;29297;8493;43532
351680;GASTAO VIDIGAL;445;2178;720;3343
351685;GAVIAO PEIXOTO;785;3286;691;4762
351690;GENERAL SALGADO;1359;6875;2342;10576
351700;GETULINA;1193;7418;1892;10503
351710;GLICERIO;608;2739;904;4251
351720;GUAICARA;1799;7854;1776;11429
351730;GUAIMBE;830;3724;1072;5626
351740;GUAIRA;5456;28128;6782;40366
351750;GUAPIACU;3208;15147;3368;21723
351760;GUAPIARA;2620;11852;3022;17494
351770;GUARA;2794;13175;3125;19094
351780;GUARACAI;851;4954;1868;7673
351790;GUARACI;1430;7230;1922;10582
351800;GUARANI D'OESTE;257;1300;452;2009
351810;GUARANTA;999;4421;1136;6556
351820;GUARARAPES;4291;21516;6234;32041
351830;GUARAREMA;4685;21723;5345;31753
351840;GUARATINGUETA;16577;82920;22020;121517
351850;GUAREI;1868;11175;2207;15250
351860;GUARIBA;5731;27533;5268;38532
351870;GUARUJA;45896;210121;41929;297946
351880;GUARULHOS;208173;961703;174493;1344369
351885;GUATAPARA;1153;5004;1300;7457
351890;GUZOLANDIA;605;2933;830;4368
351900;HERCULANDIA;1361;6323;1602;9286
351905;HOLAMBRA;2256;10624;2175;15055
351907;HORTOLANDIA;37043;175258;28662;240963
351910;IACANGA;1533;7247;1843;10623
351920;IACRI;836;4117;1320;6273
351925;IARAS;963;5962;1147;8072
351930;IBATE;5230;23581;4277;33088
